time;I(D1);P(R3);V(/VOUT);V(Net-_D1-K_);
0.0423018;0.00520535;0.00894153;3.61582;1.71777;
0.0424018;0.00519247;0.00889732;3.61137;1.71351;
0.0425018;0.00520535;0.00894153;3.61582;1.71777;
0.0426018;0.00519247;0.00889732;3.61137;1.71351;
0.0427018;0.00520535;0.00894153;3.61582;1.71777;
0.0428018;0.00519247;0.00889732;3.61137;1.71352;
0.0429018;0.00520535;0.00894153;3.61582;1.71777;
0.0430018;0.00519247;0.00889732;3.61137;1.71352;
0.0431018;0.00520535;0.00894153;3.61582;1.71777;
0.0432018;0.00519247;0.00889732;3.61137;1.71352;
0.0433018;0.00520535;0.00894153;3.61582;1.71777;
0.0434018;0.00519247;0.00889732;3.61137;1.71352;
0.0435018;0.00520535;0.00894153;3.61582;1.71777;
0.0436018;0.00519247;0.00889732;3.61137;1.71352;
0.0437018;0.00520535;0.00894153;3.61582;1.71777;
0.0438018;0.00519247;0.00889732;3.61137;1.71352;
0.0439018;0.00520535;0.00894153;3.61582;1.71777;
0.0440018;0.00519247;0.00889732;3.61137;1.71352;
0.0441018;0.00520535;0.00894153;3.61582;1.71777;
0.0442018;0.00519247;0.00889732;3.61137;1.71352;
0.0443018;0.00520535;0.00894153;3.61582;1.71777;
0.0444018;0.00519247;0.00889732;3.61137;1.71352;
0.0445018;0.00520535;0.00894153;3.61582;1.71777;
0.0446018;0.00519247;0.00889733;3.61137;1.71352;
0.0447018;0.00520535;0.00894153;3.61582;1.71777;
0.0448018;0.00519247;0.00889733;3.61137;1.71352;
0.0449018;0.00520535;0.00894152;3.61582;1.71777;
0.0450018;0.00519247;0.00889733;3.61137;1.71352;
0.0451018;0.00520535;0.00894152;3.61582;1.71777;
0.0452018;0.00519247;0.00889733;3.61137;1.71352;
0.0453018;0.00520535;0.00894152;3.61582;1.71777;
0.0454018;0.00519247;0.00889733;3.61137;1.71352;
0.0455018;0.00520535;0.00894152;3.61582;1.71777;
0.0456018;0.00519247;0.00889733;3.61137;1.71352;
0.0457018;0.00520535;0.00894152;3.61582;1.71777;
0.0458018;0.00519247;0.00889733;3.61137;1.71352;
0.0459018;0.00520535;0.00894152;3.61582;1.71777;
0.0460018;0.00519247;0.00889733;3.61137;1.71352;
0.0461018;0.00520535;0.00894152;3.61582;1.71777;
0.0462018;0.00519247;0.00889733;3.61137;1.71352;
0.0463018;0.00520535;0.00894152;3.61582;1.71777;
0.0464018;0.00519247;0.00889733;3.61137;1.71352;
0.0465018;0.00520535;0.00894152;3.61582;1.71777;
0.0466018;0.00519247;0.00889733;3.61137;1.71352;
0.0467018;0.00520535;0.00894152;3.61582;1.71777;
0.0468018;0.00519247;0.00889733;3.61137;1.71352;
0.0469018;0.00520535;0.00894152;3.61582;1.71777;
0.0470018;0.00519247;0.00889733;3.61137;1.71352;
0.0471018;0.00520535;0.00894152;3.61582;1.71777;
0.0472018;0.00519247;0.00889733;3.61137;1.71352;
0.0473018;0.00520535;0.00894152;3.61582;1.71777;
0.0474018;0.00519247;0.00889733;3.61137;1.71352;
0.0475018;0.00520535;0.00894152;3.61582;1.71777;
0.0476018;0.00519247;0.00889733;3.61137;1.71352;
0.0477018;0.00520535;0.00894152;3.61582;1.71777;
0.0478018;0.00519247;0.00889733;3.61137;1.71352;
0.0479018;0.00520535;0.00894152;3.61582;1.71777;
0.0480018;0.00519247;0.00889733;3.61137;1.71352;
0.0481018;0.00520535;0.00894152;3.61582;1.71777;
0.0482018;0.00519247;0.00889734;3.61137;1.71352;
0.0483018;0.00520535;0.00894152;3.61582;1.71777;
0.0484018;0.00519247;0.00889734;3.61137;1.71352;
0.0485018;0.00520535;0.00894152;3.61582;1.71777;
0.0486018;0.00519247;0.00889734;3.61137;1.71352;
0.0487018;0.00520535;0.00894152;3.61582;1.71777;
0.0488018;0.00519247;0.00889734;3.61137;1.71352;
0.0489018;0.00520535;0.00894151;3.61582;1.71777;
0.0490018;0.00519247;0.00889734;3.61137;1.71352;
0.0491018;0.00520535;0.00894151;3.61582;1.71777;
0.0492018;0.00519247;0.00889734;3.61137;1.71352;
0.0493018;0.00520535;0.00894151;3.61582;1.71777;
0.0494018;0.00519248;0.00889734;3.61137;1.71352;
0.0495018;0.00520535;0.00894151;3.61582;1.71777;
0.0496018;0.00519248;0.00889734;3.61137;1.71352;
0.0497018;0.00520535;0.00894151;3.61582;1.71777;
0.0498018;0.00519248;0.00889734;3.61137;1.71352;
0.0499018;0.00520535;0.00894151;3.61582;1.71777;
0.0500018;0.00519248;0.00889734;3.61137;1.71352;
0.0501018;0.00520535;0.00894151;3.61582;1.71777;
0.0502018;0.00519248;0.00889734;3.61137;1.71352;
0.0503018;0.00520535;0.00894151;3.61582;1.71777;
0.0504018;0.00519248;0.00889734;3.61137;1.71352;
0.0505018;0.00520535;0.00894151;3.61582;1.71776;
0.0506018;0.00519248;0.00889734;3.61137;1.71352;
0.0507018;0.00520535;0.00894151;3.61582;1.71776;
0.0508018;0.00519248;0.00889734;3.61137;1.71352;
0.0509018;0.00520535;0.00894151;3.61581;1.71776;
0.0510018;0.00519248;0.00889734;3.61137;1.71352;
0.0511018;0.00520535;0.00894151;3.61581;1.71776;
0.0512018;0.00519248;0.00889734;3.61137;1.71352;
0.0513018;0.00520535;0.00894151;3.61581;1.71776;
0.0514018;0.00519248;0.00889734;3.61137;1.71352;
0.0515018;0.00520535;0.00894151;3.61581;1.71776;
0.0516018;0.00519248;0.00889734;3.61138;1.71352;
0.0517018;0.00520535;0.00894151;3.61581;1.71776;
0.0518018;0.00519248;0.00889735;3.61138;1.71352;
0.0519018;0.00520535;0.00894151;3.61581;1.71776;
0.0520018;0.00519248;0.00889735;3.61138;1.71352;
0.0521018;0.00520535;0.00894151;3.61581;1.71776;
0.0522018;0.00519248;0.00889735;3.61138;1.71352;
0.0523018;0.00520535;0.00894151;3.61581;1.71776;
0.0524018;0.00519248;0.00889735;3.61138;1.71352;
0.0525018;0.00520535;0.00894151;3.61581;1.71776;
0.0526018;0.00519248;0.00889735;3.61138;1.71352;
0.0527018;0.00520535;0.0089415;3.61581;1.71776;
0.0528018;0.00519248;0.00889735;3.61138;1.71352;
0.0529018;0.00520535;0.0089415;3.61581;1.71776;
0.0530018;0.00519248;0.00889735;3.61138;1.71352;
0.0531018;0.00520535;0.0089415;3.61581;1.71776;
0.0532018;0.00519248;0.00889735;3.61138;1.71352;
0.0533018;0.00520535;0.0089415;3.61581;1.71776;
0.0534018;0.00519248;0.00889735;3.61138;1.71352;
0.0535018;0.00520535;0.0089415;3.61581;1.71776;
0.0536018;0.00519248;0.00889735;3.61138;1.71352;
0.0537018;0.00520535;0.0089415;3.61581;1.71776;
0.0538018;0.00519248;0.00889735;3.61138;1.71352;
0.0539018;0.00520535;0.0089415;3.61581;1.71776;
0.0540018;0.00519248;0.00889735;3.61138;1.71352;
0.0541018;0.00520535;0.0089415;3.61581;1.71776;
0.0542018;0.00519248;0.00889735;3.61138;1.71352;
0.0543018;0.00520535;0.0089415;3.61581;1.71776;
0.0544018;0.00519248;0.00889735;3.61138;1.71352;
0.0545018;0.00520535;0.0089415;3.61581;1.71776;
0.0546018;0.00519248;0.00889735;3.61138;1.71352;
0.0547018;0.00520535;0.0089415;3.61581;1.71776;
0.0548018;0.00519248;0.00889735;3.61138;1.71352;
0.0549018;0.00520534;0.0089415;3.61581;1.71776;
0.0550018;0.00519248;0.00889735;3.61138;1.71352;
0.0551018;0.00520534;0.0089415;3.61581;1.71776;
0.0552018;0.00519248;0.00889736;3.61138;1.71352;
0.0553018;0.00520534;0.0089415;3.61581;1.71776;
0.0554018;0.00519248;0.00889736;3.61138;1.71352;
0.0555018;0.00520534;0.0089415;3.61581;1.71776;
0.0556018;0.00519248;0.00889736;3.61138;1.71352;
0.0557018;0.00520534;0.0089415;3.61581;1.71776;
0.0558018;0.00519248;0.00889736;3.61138;1.71352;
0.0559018;0.00520534;0.0089415;3.61581;1.71776;
0.0560018;0.00519248;0.00889736;3.61138;1.71352;
0.0561018;0.00520534;0.0089415;3.61581;1.71776;
0.0562018;0.00519248;0.00889736;3.61138;1.71352;
0.0563018;0.00520534;0.00894149;3.61581;1.71776;
0.0564018;0.00519248;0.00889736;3.61138;1.71352;
0.0565018;0.00520534;0.00894149;3.61581;1.71776;
0.0566018;0.00519248;0.00889736;3.61138;1.71352;
0.0567018;0.00520534;0.00894149;3.61581;1.71776;
0.0568018;0.00519248;0.00889736;3.61138;1.71352;
0.0569018;0.00520534;0.00894149;3.61581;1.71776;
0.0570018;0.00519248;0.00889736;3.61138;1.71352;
0.0571018;0.00520534;0.00894149;3.61581;1.71776;
0.0572018;0.00519248;0.00889736;3.61138;1.71352;
0.0573018;0.00520534;0.00894149;3.61581;1.71776;
0.0574018;0.00519248;0.00889736;3.61138;1.71352;
0.0575018;0.00520534;0.00894149;3.61581;1.71776;
0.0576018;0.00519248;0.00889736;3.61138;1.71352;
0.0577018;0.00520534;0.00894149;3.61581;1.71776;
0.0578018;0.00519248;0.00889736;3.61138;1.71352;
0.0579018;0.00520534;0.00894149;3.61581;1.71776;
0.0580018;0.00519248;0.00889736;3.61138;1.71352;
0.0581018;0.00520534;0.00894149;3.61581;1.71776;
0.0582018;0.00519248;0.00889736;3.61138;1.71352;
0.0583018;0.00520534;0.00894149;3.61581;1.71776;
0.0584018;0.00519248;0.00889736;3.61138;1.71352;
0.0585018;0.00520534;0.00894149;3.61581;1.71776;
0.0586018;0.00519248;0.00889737;3.61138;1.71352;
0.0587018;0.00520534;0.00894149;3.61581;1.71776;
0.0588018;0.00519248;0.00889737;3.61138;1.71352;
0.0589018;0.00520534;0.00894149;3.61581;1.71776;
0.0590018;0.00519248;0.00889737;3.61138;1.71352;
0.0591018;0.00520534;0.00894149;3.61581;1.71776;
0.0592018;0.00519248;0.00889737;3.61138;1.71352;
0.0593018;0.00520534;0.00894149;3.61581;1.71776;
0.0594018;0.00519248;0.00889737;3.61138;1.71352;
0.0595018;0.00520534;0.00894149;3.61581;1.71776;
0.0596018;0.00519248;0.00889737;3.61138;1.71352;
0.0597018;0.00520534;0.00894149;3.61581;1.71776;
0.0598018;0.00519248;0.00889737;3.61138;1.71352;
0.0599018;0.00520534;0.00894148;3.61581;1.71776;
0.0600018;0.00519248;0.00889737;3.61138;1.71352;
0.0601018;0.00520534;0.00894148;3.61581;1.71776;
0.0602018;0.00519248;0.00889737;3.61138;1.71352;
0.0603018;0.00520534;0.00894148;3.61581;1.71776;
0.0604018;0.00519248;0.00889737;3.61138;1.71352;
0.0605018;0.00520534;0.00894148;3.61581;1.71776;
0.0606018;0.00519248;0.00889737;3.61138;1.71352;
0.0607018;0.00520534;0.00894148;3.61581;1.71776;
0.0608018;0.00519248;0.00889737;3.61138;1.71352;
0.0609018;0.00520534;0.00894148;3.61581;1.71776;
0.0610018;0.00519249;0.00889737;3.61138;1.71352;
0.0611018;0.00520534;0.00894148;3.61581;1.71776;
0.0612018;0.00519249;0.00889737;3.61138;1.71352;
0.0613018;0.00520534;0.00894148;3.61581;1.71776;
0.0614018;0.00519249;0.00889737;3.61138;1.71352;
0.0615018;0.00520534;0.00894148;3.61581;1.71776;
0.0616018;0.00519249;0.00889737;3.61138;1.71352;
0.0617018;0.00520534;0.00894148;3.61581;1.71776;
0.0618018;0.00519249;0.00889738;3.61138;1.71352;
0.0619018;0.00520534;0.00894148;3.61581;1.71776;
0.0620018;0.00519249;0.00889738;3.61138;1.71352;
0.0621018;0.00520534;0.00894148;3.61581;1.71776;
0.0622018;0.00519249;0.00889738;3.61138;1.71352;
0.0623018;0.00520534;0.00894148;3.61581;1.71776;
0.0624018;0.00519249;0.00889738;3.61138;1.71352;
0.0625018;0.00520534;0.00894148;3.61581;1.71776;
0.0626018;0.00519249;0.00889738;3.61138;1.71352;
0.0627018;0.00520534;0.00894148;3.61581;1.71776;
0.0628018;0.00519249;0.00889738;3.61138;1.71352;
0.0629018;0.00520534;0.00894148;3.61581;1.71776;
0.0630018;0.00519249;0.00889738;3.61138;1.71352;
0.0631018;0.00520534;0.00894148;3.61581;1.71776;
0.0632018;0.00519249;0.00889738;3.61138;1.71352;
0.0633018;0.00520534;0.00894148;3.61581;1.71776;
0.0634018;0.00519249;0.00889738;3.61138;1.71352;
0.0635018;0.00520534;0.00894147;3.61581;1.71776;
0.0636018;0.00519249;0.00889738;3.61138;1.71352;
0.0637018;0.00520534;0.00894147;3.61581;1.71776;
0.0638018;0.00519249;0.00889738;3.61138;1.71352;
0.0639018;0.00520534;0.00894147;3.61581;1.71776;
0.0640018;0.00519249;0.00889738;3.61138;1.71352;
0.0641018;0.00520534;0.00894147;3.61581;1.71776;
0.0642018;0.00519249;0.00889738;3.61138;1.71352;
0.0643018;0.00520534;0.00894147;3.61581;1.71776;
0.0644018;0.00519249;0.00889738;3.61138;1.71352;
0.0645018;0.00520534;0.00894147;3.61581;1.71776;
0.0646018;0.00519249;0.00889738;3.61138;1.71352;
0.0647018;0.00520534;0.00894147;3.61581;1.71776;
0.0648018;0.00519249;0.00889738;3.61138;1.71352;
0.0649018;0.00520534;0.00894147;3.61581;1.71776;
0.0650018;0.00519249;0.00889739;3.61138;1.71352;
0.0651018;0.00520534;0.00894147;3.61581;1.71776;
0.0652018;0.00519249;0.00889739;3.61138;1.71352;
0.0653018;0.00520534;0.00894147;3.61581;1.71776;
0.0654018;0.00519249;0.00889739;3.61138;1.71352;
0.0655018;0.00520534;0.00894147;3.61581;1.71776;
0.0656018;0.00519249;0.00889739;3.61138;1.71352;
0.0657018;0.00520534;0.00894147;3.61581;1.71776;
0.0658018;0.00519249;0.00889739;3.61138;1.71352;
0.0659018;0.00520534;0.00894147;3.61581;1.71776;
0.0660018;0.00519249;0.00889739;3.61138;1.71352;
0.0661018;0.00520534;0.00894147;3.61581;1.71776;
0.0662018;0.00519249;0.00889739;3.61138;1.71352;
0.0663018;0.00520534;0.00894147;3.61581;1.71776;
0.0664018;0.00519249;0.00889739;3.61138;1.71352;
0.0665018;0.00520534;0.00894147;3.61581;1.71776;
0.0666018;0.00519249;0.00889739;3.61138;1.71352;
0.0667018;0.00520534;0.00894147;3.61581;1.71776;
0.0668018;0.00519249;0.00889739;3.61138;1.71352;
0.0669018;0.00520533;0.00894146;3.61581;1.71776;
0.0670018;0.00519249;0.00889739;3.61138;1.71352;
0.0671018;0.00520533;0.00894146;3.61581;1.71776;
0.0672018;0.00519249;0.00889739;3.61138;1.71352;
0.0673018;0.00520533;0.00894146;3.61581;1.71776;
0.0674018;0.00519249;0.00889739;3.61138;1.71352;
0.0675018;0.00520533;0.00894146;3.61581;1.71776;
0.0676018;0.00519249;0.00889739;3.61138;1.71352;
0.0677018;0.00520533;0.00894146;3.61581;1.71776;
0.0678018;0.00519249;0.00889739;3.61138;1.71352;
0.0679018;0.00520533;0.00894146;3.61581;1.71776;
0.0680018;0.00519249;0.00889739;3.61138;1.71352;
0.0681018;0.00520533;0.00894146;3.61581;1.71776;
0.0682018;0.00519249;0.0088974;3.61138;1.71352;
0.0683018;0.00520533;0.00894146;3.61581;1.71776;
0.0684018;0.00519249;0.0088974;3.61138;1.71352;
0.0685018;0.00520533;0.00894146;3.61581;1.71776;
0.0686018;0.00519249;0.0088974;3.61138;1.71352;
0.0687018;0.00520533;0.00894146;3.61581;1.71776;
0.0688018;0.00519249;0.0088974;3.61138;1.71352;
0.0689018;0.00520533;0.00894146;3.61581;1.71776;
0.0690018;0.00519249;0.0088974;3.61138;1.71352;
0.0691018;0.00520533;0.00894146;3.61581;1.71776;
0.0692018;0.00519249;0.0088974;3.61138;1.71352;
0.0693018;0.00520533;0.00894146;3.61581;1.71776;
0.0694018;0.00519249;0.0088974;3.61138;1.71352;
0.0695018;0.00520533;0.00894146;3.61581;1.71776;
0.0696018;0.00519249;0.0088974;3.61138;1.71352;
0.0697018;0.00520533;0.00894146;3.61581;1.71776;
0.0698018;0.00519249;0.0088974;3.61138;1.71352;
0.0699018;0.00520533;0.00894146;3.61581;1.71776;
0.0700018;0.00519249;0.0088974;3.61138;1.71352;
0.0701018;0.00520533;0.00894146;3.61581;1.71776;
0.0702018;0.00519249;0.0088974;3.61138;1.71352;
0.0703018;0.00520533;0.00894145;3.61581;1.71776;
0.0704018;0.00519249;0.0088974;3.61138;1.71352;
0.0705018;0.00520533;0.00894145;3.61581;1.71776;
0.0706018;0.00519249;0.0088974;3.61138;1.71352;
0.0707018;0.00520533;0.00894145;3.61581;1.71776;
0.0708018;0.00519249;0.0088974;3.61138;1.71352;
0.0709018;0.00520533;0.00894145;3.61581;1.71776;
0.0710018;0.00519249;0.0088974;3.61138;1.71352;
0.0711018;0.00520533;0.00894145;3.61581;1.71776;
0.0712018;0.00519249;0.00889741;3.61138;1.71352;
0.0713018;0.00520533;0.00894145;3.61581;1.71776;
0.0714018;0.00519249;0.00889741;3.61138;1.71352;
0.0715018;0.00520533;0.00894145;3.61581;1.71776;
0.0716018;0.00519249;0.00889741;3.61138;1.71352;
0.0717018;0.00520533;0.00894145;3.61581;1.71776;
0.0718018;0.0051925;0.00889741;3.61138;1.71352;
0.0719018;0.00520533;0.00894145;3.61581;1.71776;
0.0720018;0.0051925;0.00889741;3.61138;1.71352;
0.0721018;0.00520533;0.00894145;3.61581;1.71776;
0.0722018;0.0051925;0.00889741;3.61138;1.71352;
0.0723018;0.00520533;0.00894145;3.61581;1.71776;
0.0724018;0.0051925;0.00889741;3.61138;1.71352;
0.0725018;0.00520533;0.00894145;3.61581;1.71776;
0.0726018;0.0051925;0.00889741;3.61138;1.71352;
0.0727018;0.00520533;0.00894145;3.61581;1.71776;
0.0728018;0.0051925;0.00889741;3.61138;1.71352;
0.0729018;0.00520533;0.00894145;3.61581;1.71776;
0.0730018;0.0051925;0.00889741;3.61138;1.71352;
0.0731018;0.00520533;0.00894145;3.61581;1.71776;
0.0732018;0.0051925;0.00889741;3.61138;1.71352;
0.0733018;0.00520533;0.00894145;3.61581;1.71776;
0.0734018;0.0051925;0.00889741;3.61138;1.71352;
0.0735018;0.00520533;0.00894144;3.61581;1.71776;
0.0736018;0.0051925;0.00889741;3.61138;1.71352;
0.0737018;0.00520533;0.00894144;3.61581;1.71776;
0.0738018;0.0051925;0.00889741;3.61138;1.71352;
0.0739018;0.00520533;0.00894144;3.61581;1.71776;
0.0740018;0.0051925;0.00889741;3.61138;1.71352;
0.0741018;0.00520533;0.00894144;3.61581;1.71776;
0.0742018;0.0051925;0.00889742;3.61138;1.71352;
0.0743018;0.00520533;0.00894144;3.61581;1.71776;
0.0744018;0.0051925;0.00889742;3.61138;1.71352;
0.0745018;0.00520533;0.00894144;3.61581;1.71776;
0.0746018;0.0051925;0.00889742;3.61138;1.71352;
0.0747018;0.00520533;0.00894144;3.61581;1.71776;
0.0748018;0.0051925;0.00889742;3.61138;1.71352;
0.0749018;0.00520533;0.00894144;3.61581;1.71776;
0.0750018;0.0051925;0.00889742;3.61138;1.71352;
0.0751018;0.00520533;0.00894144;3.61581;1.71776;
0.0752018;0.0051925;0.00889742;3.61138;1.71352;
0.0753018;0.00520533;0.00894144;3.61581;1.71776;
0.0754018;0.0051925;0.00889742;3.61138;1.71352;
0.0755018;0.00520533;0.00894144;3.61581;1.71776;
0.0756018;0.0051925;0.00889742;3.61138;1.71352;
0.0757018;0.00520533;0.00894144;3.61581;1.71776;
0.0758018;0.0051925;0.00889742;3.61138;1.71352;
0.0759018;0.00520533;0.00894144;3.61581;1.71776;
0.0760018;0.0051925;0.00889742;3.61138;1.71352;
0.0761018;0.00520533;0.00894144;3.61581;1.71776;
0.0762018;0.0051925;0.00889742;3.61138;1.71352;
0.0763018;0.00520533;0.00894144;3.61581;1.71776;
0.0764018;0.0051925;0.00889742;3.61138;1.71352;
0.0765018;0.00520533;0.00894144;3.61581;1.71776;
0.0766018;0.0051925;0.00889742;3.61138;1.71352;
0.0767018;0.00520533;0.00894143;3.61581;1.71776;
0.0768018;0.0051925;0.00889742;3.61138;1.71352;
0.0769018;0.00520533;0.00894143;3.61581;1.71776;
0.0770018;0.0051925;0.00889742;3.61138;1.71353;
0.0771018;0.00520533;0.00894143;3.61581;1.71776;
0.0772018;0.0051925;0.00889743;3.61138;1.71353;
0.0773018;0.00520533;0.00894143;3.61581;1.71776;
0.0774018;0.0051925;0.00889743;3.61138;1.71353;
0.0775018;0.00520533;0.00894143;3.61581;1.71776;
0.0776018;0.0051925;0.00889743;3.61138;1.71353;
0.0777018;0.00520533;0.00894143;3.61581;1.71776;
0.0778018;0.0051925;0.00889743;3.61138;1.71353;
0.0779018;0.00520533;0.00894143;3.61581;1.71776;
0.0780018;0.0051925;0.00889743;3.61138;1.71353;
0.0781018;0.00520532;0.00894143;3.61581;1.71776;
0.0782018;0.0051925;0.00889743;3.61138;1.71353;
0.0783018;0.00520532;0.00894143;3.61581;1.71776;
0.0784018;0.0051925;0.00889743;3.61138;1.71353;
0.0785018;0.00520532;0.00894143;3.61581;1.71776;
0.0786018;0.0051925;0.00889743;3.61138;1.71353;
0.0787018;0.00520532;0.00894143;3.61581;1.71776;
0.0788018;0.0051925;0.00889743;3.61138;1.71353;
0.0789018;0.00520532;0.00894143;3.61581;1.71776;
0.0790018;0.0051925;0.00889743;3.61138;1.71353;
0.0791018;0.00520532;0.00894143;3.61581;1.71776;
0.0792018;0.0051925;0.00889743;3.61138;1.71353;
0.0793018;0.00520532;0.00894143;3.61581;1.71776;
0.0794018;0.0051925;0.00889743;3.61138;1.71353;
0.0795018;0.00520532;0.00894143;3.61581;1.71776;
0.0796018;0.0051925;0.00889743;3.61138;1.71353;
0.0797018;0.00520532;0.00894143;3.61581;1.71776;
0.0798018;0.0051925;0.00889743;3.61138;1.71353;
0.0799018;0.00520532;0.00894142;3.61581;1.71776;
0.0800018;0.0051925;0.00889743;3.61138;1.71353;
0.0801018;0.00520532;0.00894142;3.61581;1.71776;
0.0802018;0.0051925;0.00889744;3.61138;1.71353;
0.0803018;0.00520532;0.00894142;3.61581;1.71776;
0.0804018;0.0051925;0.00889744;3.61138;1.71353;
0.0805018;0.00520532;0.00894142;3.61581;1.71776;
0.0806018;0.0051925;0.00889744;3.61138;1.71353;
0.0807018;0.00520532;0.00894142;3.61581;1.71776;
0.0808018;0.0051925;0.00889744;3.61138;1.71353;
0.0809018;0.00520532;0.00894142;3.61581;1.71776;
0.0810018;0.0051925;0.00889744;3.61138;1.71353;
0.0811018;0.00520532;0.00894142;3.61581;1.71776;
0.0812018;0.0051925;0.00889744;3.61138;1.71353;
0.0813018;0.00520532;0.00894142;3.61581;1.71776;
0.0814018;0.0051925;0.00889744;3.61138;1.71353;
0.0815018;0.00520532;0.00894142;3.61581;1.71776;
0.0816018;0.0051925;0.00889744;3.61138;1.71353;
0.0817018;0.00520532;0.00894142;3.61581;1.71776;
0.0818018;0.0051925;0.00889744;3.61138;1.71353;
0.0819018;0.00520532;0.00894142;3.61581;1.71776;
0.0820018;0.0051925;0.00889744;3.61138;1.71353;
0.0821018;0.00520532;0.00894142;3.61581;1.71776;
0.0822018;0.00519251;0.00889744;3.61138;1.71353;
0.0823018;0.00520532;0.00894142;3.61581;1.71776;
0.0824018;0.00519251;0.00889744;3.61138;1.71353;
0.0825018;0.00520532;0.00894142;3.61581;1.71776;
0.0826018;0.00519251;0.00889744;3.61138;1.71353;
0.0827018;0.00520532;0.00894142;3.61581;1.71776;
0.0828018;0.00519251;0.00889744;3.61138;1.71353;
0.0829018;0.00520532;0.00894142;3.61581;1.71776;
0.0830018;0.00519251;0.00889744;3.61139;1.71353;
0.0831018;0.00520532;0.00894141;3.61581;1.71776;
0.0832018;0.00519251;0.00889745;3.61139;1.71353;
0.0833018;0.00520532;0.00894141;3.61581;1.71776;
0.0834018;0.00519251;0.00889745;3.61139;1.71353;
0.0835018;0.00520532;0.00894141;3.61581;1.71776;
0.0836018;0.00519251;0.00889745;3.61139;1.71353;
0.0837018;0.00520532;0.00894141;3.61581;1.71776;
0.0838018;0.00519251;0.00889745;3.61139;1.71353;
0.0839018;0.00520532;0.00894141;3.61581;1.71776;
0.0840018;0.00519251;0.00889745;3.61139;1.71353;
0.0841018;0.00520532;0.00894141;3.61581;1.71776;
0.0842018;0.00519251;0.00889745;3.61139;1.71353;
0.0843018;0.00520532;0.00894141;3.61581;1.71776;
0.0844018;0.00519251;0.00889745;3.61139;1.71353;
0.0845018;0.00520532;0.00894141;3.6158;1.71776;
0.0846018;0.00519251;0.00889745;3.61139;1.71353;
0.0847018;0.00520532;0.00894141;3.6158;1.71776;
0.0848018;0.00519251;0.00889745;3.61139;1.71353;
0.0849018;0.00520532;0.00894141;3.6158;1.71776;
0.0850018;0.00519251;0.00889745;3.61139;1.71353;
0.0851018;0.00520532;0.00894141;3.6158;1.71776;
0.0852018;0.00519251;0.00889745;3.61139;1.71353;
0.0853018;0.00520532;0.00894141;3.6158;1.71776;
0.0854018;0.00519251;0.00889745;3.61139;1.71353;
0.0855018;0.00520532;0.00894141;3.6158;1.71775;
0.0856018;0.00519251;0.00889745;3.61139;1.71353;
0.0857018;0.00520532;0.00894141;3.6158;1.71775;
0.0858018;0.00519251;0.00889745;3.61139;1.71353;
0.0859018;0.00520532;0.00894141;3.6158;1.71775;
0.0860018;0.00519251;0.00889746;3.61139;1.71353;
0.0861018;0.00520532;0.00894141;3.6158;1.71775;
0.0862018;0.00519251;0.00889746;3.61139;1.71353;
0.0863018;0.00520532;0.0089414;3.6158;1.71775;
0.0864018;0.00519251;0.00889746;3.61139;1.71353;
0.0865018;0.00520532;0.0089414;3.6158;1.71775;
0.0866018;0.00519251;0.00889746;3.61139;1.71353;
